ID,Asset,Log
1,Windows,2025-04-26T15:09:24.788885Z web-prod-02 An account failed to log on. Subject: Security ID: S-1-5-21-963564-9609 Failure Reason: Invalid credentials
2,Application,"2025-05-11T21:51:45.788885Z db-master login[12081]: FAILED LOGIN (2) on '/dev/tty4' FOR 'michael', Authentication failure"
3,Windows,Audit Failure: Logon Type: 7 Failure Information: Failure Reason: Access denied
4,Application,"[ERROR] SecurityManager - Login failed for user: zabbix, IP: 172.16.55.138, Reason: Access denied"
5,SSH,May 23 09:37:57 ldap-master sshd[12910]: Failed password for www-data from 172.17.18.184 port 46216 ssh2
6,Database,mongodb[10378]: Failed to authenticate as principal dbadmin on admin - AuthenticationFailed
7,Application,2025-05-10 08:45:27 k8s-worker-01 mariadb[38884]: Authentication failed for user sa from 172.16.81.211: Invalid password
8,Windows,2025-05-21T00:09:39.788885Z proxy-02 An account failed to log on. Subject: Security ID: S-1-5-21-309950-4655 Failure Reason: Invalid credentials
9,Database,Oracle Audit: LOGON: USER: 'admin' PRIVILEGE: 'NORMAL' FAILURE: ORA-01017: invalid username/password
10,Database,2025-05-18T19:30:33.788885Z db-master mysql[12634]: Access denied for user 'root'@'2001:db8::1ef' (using password: YES)
11,Linux,2025-05-15 03:26:56 db-slave-01 su[33910]: FAILED su for guest by david
12,WebServer,[28/Apr/2025:11:18:48 +0000] backup-server apache2[37788]: Auth: user john@DEV : authentication failure for '/dashboard': Access denied
13,Linux,2025-05-12T01:27:00.788885Z db-slave-01 su[4138]: - pts/1 nginx:helpdesk
14,Windows,2025/05/12 21:05:38 proxy-01 Audit Failure: Logon Type: 7 Failure Information: Failure Reason: Invalid password
15,Application,2025/05/09 17:26:03 proxy-01 Logon Failure: Reason: Invalid password. User Name: bob Domain: INTERNAL
16,Application,"2025-04-28 14:33:37 ldap-master login[29019]: FAILED LOGIN (5) on '/dev/tty1' FOR 'audit', Authentication failure"
17,Application,"[ERROR] SecurityManager - Login failed for user: admin, IP: 172.18.36.28, Reason: User not found"
