ID,Asset,Log
1,Email,dovecot[31663]: imap(root): Disconnected: xlog in=9804 out=27435
2,Database,[30/Apr/2025:02:31:05 +0000] mail-server postgres[36402]: LOG: checkpoint starting: time
3,Database,mysql[62511]: InnoDB: Log file created
4,Cron,CRON[23338]: (michael) CMD (/usr/local/bin/backup.sh)
5,Other,2025/05/09 04:15:04 ldap-master NetworkManager[24492]: <info> (eth1): device state change: ip-config -> activated
6,System,[14/May/2025:15:11:46 +0000] k8s-master-01 kernel: [UFW BLOCK] IN=eth1 OUT= MAC=bd:8c:93:70:66:94 SRC=192.168.8.235 DST=172.18.232.15
7,Container,[03/May/2025:05:33:30 +0000] file-server docker[23145]: Container d1b2fe8628b9 created
8,Container,containerd[58652]: time='662337' level=info msg='Container exec started'
9,Other,NetworkManager[17788]: <info> (eth0): device state change: ip-config -> activated
10,Database,2025-05-05T17:56:44.954158Z k8s-worker-02 mysql[46614]: InnoDB: Buffer pool initialized
11,Other,2025/05/19 06:14:35 k8s-worker-01 dhclient[45529]: DHCPREQUEST on eth0 to 2001:db8::2649 port 67
12,Other,2025-05-25T04:29:32.954158Z backup-server NetworkManager[35386]: <info> (eth1): device state change: ip-config -> activated
13,Cron,May 03 09:07:39 gitlab-runner-01 CRON[15432]: (bob) CMD (php /var/www/cron.php)
14,Linux,2025-05-19 10:23:29 loadbalancer systemd[1]: Stopped PostgreSQL - Database Server.
15,Database,2025-05-09 16:47:08 gitlab-runner-01 postgres[4539]: LOG: checkpoint starting: checkpoint
16,Cron,2025/05/01 09:20:25 k8s-worker-01 anacron[39750]: Job 'cron.weekly' started
17,Email,"[07/May/2025:09:54:51 +0000] backup-server postfix/smtp[2774]: 6667846246: to=<system@example.com>, relay=mail.gmail.com, status=deferred"
18,Container,2025/05/24 16:55:43 app-server-01 containerd[60208]: time='637770' level=info msg='Container stopped'
19,Other,2025-05-13 07:04:52 proxy-01 dhclient[5336]: DHCPREQUEST on eth1 to 172.16.21.31 port 67
20,System,"kernel: CPU5: Temperature above threshold, cpu clock throttled"
21,Linux,systemd[1]: Started PostgreSQL - Application Container.
22,Cron,CRON[12912]: (www-data) CMD (/usr/bin/updatedb)
23,Container,2025/05/26 14:12:04 app-server-01 containerd[53012]: time='496945' level=info msg='Container stopped'
24,System,May 15 01:14:51 gitlab-runner-01 kernel: [903470] usb 4-5: new high-speed USB device number 4 using xhci_hcd
25,Linux,systemd[1]: Started Apache - Database Server.
26,Container,2025-05-14T03:02:35.955165Z backup-server containerd[28134]: time='497613' level=info msg='Image pulled'
27,Container,containerd[34691]: time='366005' level=info msg='Container stopped'
28,System,[23/May/2025:21:03:14 +0000] proxy-01 kernel: Out of memory: Kill process 1834 (node) score 980 or sacrifice child
29,System,2025-05-13 15:35:22 loadbalancer kernel: [974820] usb 2-5: new high-speed USB device number 1 using xhci_hcd
30,Email,"postfix/smtp[5296]: 3C1E30CD51: to=<audit@example.com>, relay=mail.gmail.com, status=sent"
31,WebServer,[11/May/2025:07:29:38 +0000] mail-server apache2[32490]: 192.168.123.117 - - [400520] 'PUT /index.html HTTP/1.1' deferred 28395
32,Container,docker[55534]: Container e2d5026f9be1 removed
33,Other,May 25 03:45:05 auth-server NetworkManager[52399]: <info> (ens33): device state change: ip-config -> activated
34,Database,May 12 12:39:23 vpn-gateway mysql[60409]: InnoDB: Buffer pool initialized
35,Email,2025-05-19 06:27:55 db-slave-01 dovecot[43563]: imap(sarah): Disconnected: shutdown in=6633 out=2964
36,Database,2025-05-19T00:51:09.955165Z monitoring-01 postgres[8355]: LOG: checkpoint starting: time
37,WebServer,nginx[37285]: 192.168.140.7 - - [249444] 'DELETE /css/style.css HTTP/1.1' deferred 2305
38,Database,2025/04/27 08:34:44 jenkins-master postgres[47447]: LOG: checkpoint starting: time
39,System,"2025-05-14T21:28:23.955165Z proxy-02 kernel: CPU3: Temperature above threshold, cpu clock throttled"
40,Cron,2025/05/25 14:19:17 gitlab-runner-01 CRON[44827]: (david) CMD (/usr/bin/updatedb)
41,Cron,2025-04-30T04:29:10.955165Z file-server CRON[60556]: (netadmin) CMD (/usr/local/bin/backup.sh)
