ID,Asset,Log
1,SSH,2025-05-26 20:31:33 ldap-master sshd[49598]: Accepted publickey for postgres from 10.0.174.190 port 57870 ssh2
2,SSH,sshd[14031]: Successful authentication for sysadmin from 198.51.100.57.115 port 59309
3,Linux,2025-05-23 10:50:25 monitoring-01 gdm-password][28696]: pam_unix(gdm-password:session): session opened for user oracle by (uid=0)
4,SSH,sshd[36142]: User web_admin from 2001:db8::12c4 authenticated successfully
5,Application,2025-05-15T17:21:25.614204Z monitoring-01 Special privileges assigned to new logon: User: CORPORATE\dbadmin Privileges: SeBackupPrivilege
6,SSH,May 09 15:01:27 backup-server sshd[42613]: Successful authentication for system from 172.16.119.98 port 48845
7,SSH,sshd[27290]: pam_unix(sshd:session): session opened for user test by (uid=0)
8,Database,May 19 18:12:16 web-prod-02 mysql[18359]: Access granted for user 'app_user'@'172.18.192.150' (using password: YES)
9,SSH,May 09 22:01:01 loadbalancer sshd[42120]: Accepted password for security from 10.0.99.98 port 59526 ssh2: RSA SHA256:61aba6c39242
10,Application,"2025-05-06 12:51:07 ldap-master [INFO] SecurityManager - Login successful for user: dbadmin, IP: 192.168.245.185"
11,Linux,2025/05/26 18:45:24 backup-server su[25504]: Successful su for mary by system
12,SSH,2025-05-22 18:02:17 mail-server sshd[58541]: Accepted keyboard-interactive for guest from 2001:db8::1f1b port 42267 ssh2: RSA SHA256:42f1039a1d9a
13,WebServer,2025/05/23 15:30:43 web-prod-01 nginx[58175]: Successful login: user=analyst ip=172.17.183.80 session=e99c8e19
14,Application,Special privileges assigned to new logon: User: WORKGROUP\test Privileges: SeDebugPrivilege
15,WebServer,apache2[34695]: Auth: user postgres@TEST : authentication successful
16,Linux,systemd-logind[7352]: New session 675 of user git.
17,SSH,May 21 14:15:32 vpn-gateway sshd[4972]: Accepted publickey for www-data from 10.0.64.50 port 46232 ssh2
18,Windows,Logon Type: 2. New Logon: Security ID: S-1-5-21-783823-9856 Account Name: admin Account Domain: CORPORATE
19,SSH,sshd[25836]: Accepted password for web_admin from 100.64.74.109 port 62825 ssh2: RSA SHA256:1a7063f2999f
20,Windows,2025-05-08 07:11:49 mail-server Windows Logon: User CORPORATE\michael logged on successfully from 192.168.192.81
21,SSH,2025-05-07 20:18:05 auth-server sshd[6250]: Successful authentication for test from 172.17.104.31 port 58667
22,Windows,An account was successfully logged on. Subject: Security ID: S-1-5-21-314181-6147 Logon Type: 7
23,SSH,sshd[31034]: Accepted keyboard-interactive for support from 10.0.138.55 port 56576 ssh2
24,SSH,May 09 12:45:05 db-slave-01 sshd[25217]: Accepted publickey for mary from 172.18.157.252 port 61429 ssh2: RSA SHA256:6aaf0a671fbf
25,WebServer,[27/Apr/2025:21:39:07 +0000] monitoring-01 apache2[59308]: Auth: user demo@PROD : authentication successful
26,SSH,2025-05-23T19:48:03.614204Z loadbalancer sshd[22859]: Accepted password for devops from 172.16.190.114 port 58077 ssh2
27,SSH,2025-05-19 01:38:25 k8s-worker-02 sshd[39175]: pam_unix(sshd:session): session opened for user bob by (uid=0)
28,Application,2025/05/04 22:53:32 mail-server Special privileges assigned to new logon: User: CORPORATE\jenkins Privileges: SeBackupPrivilege
29,SSH,May 14 12:26:52 monitoring-01 sshd[58158]: User monitoring from 100.64.90.79 authenticated successfully
30,WebServer,apache2[27193]: Successful login: user=security ip=10.0.225.249 session=4e1a7894
31,SSH,sshd[40096]: Accepted publickey for nginx from 203.0.113.112.156 port 56758 ssh2
32,Linux,2025-04-26 00:46:26 gitlab-runner-01 su[3908]: + pts/8 admin:git
33,SSH,2025-04-26T10:01:00.614204Z ldap-master sshd[34234]: pam_unix(sshd:session): session opened for user netadmin by (uid=0)
34,Windows,2025-05-20T06:13:57.614204Z app-server-01 An account was successfully logged on. Subject: Security ID: S-1-5-21-674553-1006 Logon Type: 10
35,WebServer,May 25 15:14:08 vpn-gateway apache2[44506]: Successful login: user=devops ip=2001:db8::f09 session=535c3f32
36,Database,postgres[13742]: User backup connected to database admin from 172.16.168.177
37,Linux,[29/Apr/2025:19:15:39 +0000] proxy-02 su[53698]: Successful su for audit by service
38,Windows,An account was successfully logged on. Subject: Security ID: S-1-5-21-742412-9270 Logon Type: 10
39,WebServer,nginx[32758]: Successful login: user=devops ip=10.0.183.74 session=66bf033a
40,SSH,[25/May/2025:15:51:21 +0000] auth-server sshd[10884]: Accepted password for web_admin from 172.17.17.107 port 53356 ssh2: RSA SHA256:485fe0955eb7
