text,label
Jun 14 15:16:01 combo sshd(pam_unix) 19939.0 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,Failed_login
Jun 14 15:16:02 combo sshd(pam_unix) 19937.0 check pass; user unknown,Other
Jun 14 15:16:02 combo sshd(pam_unix) 19937.0 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,Failed_login
Jun 15 02:04:59 combo sshd(pam_unix) 20882.0 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,Failed_login
Jun 15 02:04:59 combo sshd(pam_unix) 20884.0 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,Failed_login
Jun 15 02:04:59 combo sshd(pam_unix) 20883.0 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,Failed_login
Jun 15 02:04:59 combo sshd(pam_unix) 20885.0 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,Failed_login
Jun 15 02:04:59 combo sshd(pam_unix) 20886.0 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,Failed_login
Jun 15 02:04:59 combo sshd(pam_unix) 20892.0 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,Failed_login
Jun 15 02:04:59 combo sshd(pam_unix) 20893.0 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,Failed_login
Jun 15 02:04:59 combo sshd(pam_unix) 20896.0 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,Failed_login
Jun 15 02:04:59 combo sshd(pam_unix) 20897.0 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,Failed_login
Jun 15 02:04:59 combo sshd(pam_unix) 20898.0 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,Failed_login
Jun 15 04:06:18 combo su(pam_unix) 21416.0 session opened for user cyrus by (uid=0),Success_login
