ID,Asset,Log
1,Windows Server,"<Event><System><EventID>4624</EventID></System><EventData><Data Name=""SubjectUserName"">user000</Data><Data Name=""IpAddress"">192.0.2.0</Data></EventData></Event>"
2,Ubuntu SSH,May 08 12:03:00 ubuntu sshd[2584]: Accepted password for user001 from 192.0.2.7 port 51763 ssh2
3,macOS,2025-05-08 loginwindow[5333]: User login succeeded for user user002 (UID 559)
4,Cisco ASA,May 08 2025 12:09:00: %ASA-6-722051: VPN Login: User=user003 IP=192.0.2.21 Duration=00:00:00 GroupPolicy=vpngroup
5,Palo Alto GlobalProtect,"2025/05/08 12:12:00,001801000013,SYSTEM,gplogin,0,2025/05/08 12:12:00,192.0.2.28,10.0.0.1,Login,globalprotect,user=user004,tunnel=yes,result=success"
6,AWS CloudTrail,"{""eventTime"": ""2025-05-08T12:15:00Z"", ""eventName"": ""ConsoleLogin"", ""userIdentity"": {""type"": ""IAMUser"", ""userName"": ""user005""}, ""sourceIPAddress"": ""192.0.2.35"", ""responseElements"": {""ConsoleLogin"": ""Success""}}"
7,Azure AD,"{""TimeGenerated"": ""2025-05-08T12:18:00Z"", ""UserPrincipalName"": ""user006@example.com"", ""AppDisplayName"": ""Azure Portal"", ""Status"": {""value"": ""0"", ""additionalDetails"": ""Success""}, ""IPAddress"": ""192.0.2.42""}"
8,Google Workspace,timestamp=2025-05-08T12:21:00Z event=login login_type=authorized principal=user007@example.com ip_address=192.0.2.49 outcome=SUCCESS
9,Okta,"{""published"": ""2025-05-08T12:24:00Z"", ""eventType"": ""user.session.start"", ""outcome"": {""result"": ""SUCCESS""}, ""actor"": {""displayName"": ""user008""}, ""client"": {""ipAddress"": ""192.0.2.56""}}"
10,Salesforce,"""2025-05-08T12:27:00"",""user009@example.com"",""Login"",""login.salesforce.com"",""Successful"",""192.0.2.63"",""OAuth"""
11,Office 365,"{""CreationTime"": ""2025-05-08T12:30:00"", ""Operation"": ""UserLoggedIn"", ""UserId"": ""user010@example.com"", ""ClientIP"": ""192.0.2.70"", ""ResultStatus"": ""Succeeded""}"
12,PostgreSQL,2025-05-08T12:33:00 UTC [3803]: [user011]@hrdb LOG:  connection authorized: user=user011 database=hrdb SSL enabled
13,MySQL,2025-05-08T12:36:00Z  49 Connect user012@192.0.2.84 on payrolldb
14,Apache HTTPD,"192.0.2.91 - user013 [08/May/2025:12:39:00 +0000] ""POST /login HTTP/1.1"" 302 518 ""-"" ""Mozilla/5.0"""
15,SAP NetWeaver,8.May.2025 12:42:00 SAPR3 DEV100 0 USER_LOGON      user014 192.0.2.98 SUCCESS
16,Oracle Listener,8-MAY-2025 12:45:00 * (CONNECT_DATA=(SERVICE_NAME=prod)) (ADDRESS=(PROTOCOL=tcp)(HOST=192.0.2.105)(PORT=48773)) * establish * user015 * 0
17,Fortinet FortiGate,date=2025-05-08 time=12:48:00 device_id=FGT001 log_id=0100020001 type=event subtype=system level=notice vd=root user=user016 ui=ssh action=login status=success srcip=192.0.2.112
18,Juniper SRX,2025-05-08 12:51:00 srx01 sshd[7482]: Accepted password for user017 from 192.0.2.119 port 55035 ssh2
19,F5 BIG-IP,"May 10 2025 12:54:00 bigip notice tmm[3287]: 01490100:5: AUDIT - user user018 (partition[Common]) from 192.0.2.126, Successful login."
20,GitHub,"{""@timestamp"": ""2025-05-08T12:57:00Z"", ""action"": ""user.login"", ""actor"": ""user019"", ""result"": ""success"", ""ip"": ""192.0.2.133""}"
21,Windows Server,"<Event><System><EventID>4624</EventID></System><EventData><Data Name=""SubjectUserName"">user020</Data><Data Name=""IpAddress"">192.0.2.140</Data></EventData></Event>"
22,Ubuntu SSH,May 08 13:03:00 ubuntu sshd[4593]: Accepted password for user021 from 192.0.2.147 port 44532 ssh2
23,macOS,2025-05-08 loginwindow[2489]: User login succeeded for user user022 (UID 520)
24,Cisco ASA,May 08 2025 13:09:00: %ASA-6-722051: VPN Login: User=user023 IP=192.0.2.161 Duration=00:00:00 GroupPolicy=vpngroup
25,Palo Alto GlobalProtect,"2025/05/08 13:12:00,001801000013,SYSTEM,gplogin,0,2025/05/08 13:12:00,192.0.2.168,10.0.0.1,Login,globalprotect,user=user024,tunnel=yes,result=success"
26,AWS CloudTrail,"{""eventTime"": ""2025-05-08T13:15:00Z"", ""eventName"": ""ConsoleLogin"", ""userIdentity"": {""type"": ""IAMUser"", ""userName"": ""user025""}, ""sourceIPAddress"": ""192.0.2.175"", ""responseElements"": {""ConsoleLogin"": ""Success""}}"
27,Azure AD,"{""TimeGenerated"": ""2025-05-08T13:18:00Z"", ""UserPrincipalName"": ""user026@example.com"", ""AppDisplayName"": ""Azure Portal"", ""Status"": {""value"": ""0"", ""additionalDetails"": ""Success""}, ""IPAddress"": ""192.0.2.182""}"
28,Google Workspace,timestamp=2025-05-08T13:21:00Z event=login login_type=authorized principal=user027@example.com ip_address=192.0.2.189 outcome=SUCCESS
29,Okta,"{""published"": ""2025-05-08T13:24:00Z"", ""eventType"": ""user.session.start"", ""outcome"": {""result"": ""SUCCESS""}, ""actor"": {""displayName"": ""user028""}, ""client"": {""ipAddress"": ""192.0.2.196""}}"
30,Salesforce,"""2025-05-08T13:27:00"",""user029@example.com"",""Login"",""login.salesforce.com"",""Successful"",""192.0.2.203"",""OAuth"""
