text,label
Dec 10 10:55:51 LabSZ 24959 Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Other
Jul 10 16:33:02 combo sshd(pam_unix) 30732.0 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.214.161.141  user=root,Failed_login
Jul 17 12:30:54 combo ftpd 24204.0 connection from 207.30.238.8 (host8.topspot.net) at Sun Jul 17 12:30:54 2005,Other
Dec 10 11:00:44 LabSZ 25270 Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Other
Jun 20 09:20:06 combo sshd(pam_unix) 10041.0 check pass; user unknown,Other
Dec 10 07:42:51 LabSZ 24318 Received disconnect from 183.136.162.51: 11: Bye Bye [preauth],Other
Dec 10 07:34:15 LabSZ 24297 Received disconnect from 123.235.32.19: 11: Bye Bye [preauth],Other
Dec 10 11:00:38 LabSZ 25263 Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Other
Jun 25 09:20:24 combo ftpd 31467.0 connection from 210.118.170.95 () at Sat Jun 25 09:20:24 2005,Other
Dec 10 11:02:57 LabSZ 25413 Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Other
Jul 10 16:02:34 combo sshd(pam_unix) 30612.0 authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=150.183.249.110  user=root,Failed_login
Jun 28 21:42:46 combo sshd(pam_unix) 12755.0 check pass; user unknown,Other
Jul 2 04:15:43 combo sshd(pam_unix) 24581.0 check pass; user unknown,Other
Dec 10 10:54:47 LabSZ 24888 Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Other
Dec 10 10:56:18 LabSZ 24987 Received disconnect from 183.62.140.253: 11: Bye Bye [preauth],Other
Dec 10 11:01:50 LabSZ 25348 pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,Other
Dec 10 09:17:36 LabSZ 24616 pam_unix(sshd:auth): check pass; user unknown,Other
Dec 10 10:59:49 LabSZ 25211 pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,Other
Dec 10 10:57:43 LabSZ 25075 pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=183.62.140.253  user=root,Other
Jun 30 04:03:43 combo logrotate nan ALERT exited abnormally with [1],Other
